,Positive Rate,TP Rate,FP Rate,Recall@0.3,Accuracy,AUC
NR-AR-LBD,0.0348,0.7,0.3,0.5833,0.9768,0.8084
NR-AhR,0.1174,0.5769,0.4231,0.5732,0.9005,0.8743
SR-MMP,0.1581,0.5635,0.4365,0.5455,0.8614,0.8544
SR-ARE,0.1619,0.5556,0.4444,0.4688,0.8533,0.7912
NR-ER-LBD,0.05,0.6522,0.3478,0.4225,0.9599,0.7928
NR-AR,0.0417,0.6765,0.3235,0.371,0.9664,0.7075
NR-ER,0.126,0.4435,0.5565,0.3459,0.8629,0.7012
NR-Aromatase,0.0514,0.6176,0.3824,0.3443,0.9553,0.7793
SR-ATAD5,0.0367,0.6538,0.3462,0.3208,0.9689,0.8219
SR-p53,0.0623,0.625,0.375,0.2907,0.945,0.8507
SR-HSE,0.0577,0.5641,0.4359,0.2895,0.9461,0.7402
NR-PPAR-gamma,0.0289,0.5,0.5,0.1842,0.9711,0.7753
